"","DAVID w/ background","PANTHER w/ background","Wilcoxon DM","Wilcoxon HLM"
"covalent chromatin modification - GO:0016569","Enriched","Enriched","Enriched","Enriched"
"response to water deprivation - GO:0009414","","Depleted","Depleted","Depleted"
"reproduction - GO:0000003","","Enriched","Enriched","Enriched"
"DNA metabolic process - GO:0006259","","Enriched","Enriched","Enriched"
"chromatin organization - GO:0006325","","Enriched","Enriched","Enriched"
"cellular response to DNA damage stimulus - GO:0006974","","Enriched","Enriched","Enriched"
"organelle organization - GO:0006996","","Enriched","Enriched","Enriched"
"cell cycle - GO:0007049","","Enriched","Enriched","Enriched"
"response to water - GO:0009415","","Depleted","Depleted","Depleted"
"response to abiotic stimulus - GO:0009628","","Depleted","Depleted","Depleted"
"cellular component organization - GO:0016043","","Enriched","Enriched","Enriched"
"cell cycle process - GO:0022402","","Enriched","Enriched","Enriched"
"intracellular transport - GO:0046907","","Enriched","Enriched","Enriched"
"chromosome organization - GO:0051276","","Enriched","Enriched","Enriched"
"establishment of localization in cell - GO:0051649","","Enriched","Enriched","Enriched"
"response to oxygen-containing compound - GO:1901700","","Depleted","Depleted","Depleted"
"nuclear division - GO:0000280","","Enriched","Enriched","Enriched"
"nucleobase-containing compound metabolic process - GO:0006139","","Enriched","Enriched",""
"DNA recombination - GO:0006310","","Enriched","Enriched","Enriched"
"proteolysis - GO:0006508","","Enriched","Enriched","Enriched"
"ubiquitin-dependent protein catabolic process - GO:0006511","","Enriched","Enriched","Enriched"
"nitrogen compound metabolic process - GO:0006807","","Enriched","Enriched",""
"meiosis I - GO:0007127","","Enriched","Enriched","Enriched"
"protein localization - GO:0008104","","Enriched","Enriched","Enriched"
"protein transport - GO:0015031","","Enriched","Enriched","Enriched"
"peptide transport - GO:0015833","","Enriched","Enriched","Enriched"
"histone modification - GO:0016570","","Enriched","Enriched","Enriched"
"modification-dependent protein catabolic process - GO:0019941","","Enriched","Enriched","Enriched"
"reproductive process - GO:0022414","","Enriched","Enriched","Enriched"
"protein catabolic process - GO:0030163","","Enriched","Enriched","Enriched"
"macromolecule localization - GO:0033036","","Enriched","Enriched","Enriched"
"cellular protein localization - GO:0034613","","Enriched","Enriched","Enriched"
"macromolecule metabolic process - GO:0043170","","Enriched","Enriched",""
"regulation of RNA splicing - GO:0043484","","Enriched","Enriched","Enriched"
"modification-dependent macromolecule catabolic process - GO:0043632","","Enriched","Enriched","Enriched"
"cellular protein catabolic process - GO:0044257","","Enriched","Enriched","Enriched"
"cellular macromolecule metabolic process - GO:0044260","","Enriched","Enriched",""
"meiotic chromosome segregation - GO:0045132","","Enriched","Enriched","Enriched"
"establishment of protein localization - GO:0045184","","Enriched","Enriched","Enriched"
"organelle fission - GO:0048285","","Enriched","Enriched","Enriched"
"meiotic cell cycle - GO:0051321","","Enriched","Enriched","Enriched"
"proteolysis involved in cellular protein catabolic process - GO:0051603","","Enriched","Enriched","Enriched"
"cellular localization - GO:0051641","","Enriched","Enriched","Enriched"
"meiosis I cell cycle process - GO:0061982","","Enriched","Enriched","Enriched"
"chromosome organization involved in meiotic cell cycle - GO:0070192","","Enriched","Enriched","Enriched"
"cellular macromolecule localization - GO:0070727","","Enriched","Enriched","Enriched"
"cellular component organization or biogenesis - GO:0071840","","Enriched","Enriched",""
"nucleic acid metabolic process - GO:0090304","","Enriched","Enriched",""
"nuclear chromosome segregation - GO:0098813","","Enriched","Enriched","Enriched"
"meiotic nuclear division - GO:0140013","","Enriched","Enriched","Enriched"
"meiotic cell cycle process - GO:1903046","","Enriched","Enriched","Enriched"
"regulation of root meristem growth - GO:0010082","","Enriched","Enriched",""
"defense response - GO:0006952","","","Depleted","Depleted"
